time_utc,symbol,source,regime,breadth_pct,technical_score,required_score,entry_ready,technical_pass,expert_score,expert_verdict,coverage,top_position_ratio,top_account_ratio,global_ratio,taker_ratio,oi_change_pct,funding_pct,shadow_action
2026-08-27T18:08:06.719529+00:00,BMTUSDT,CORE,RISK_OFF,23.33,7.5923,99.0000,Y,N,-0.0498,NEUTRAL,6,1.1867,1.0379,0.8751,0.5631,0.8463,-0.00187,OBSERVE
2026-08-27T18:08:08.328493+00:00,PROMUSDT,CORE,RISK_OFF,23.33,7.7550,99.0000,N,N,0.1530,SUPPORT,6,1.1122,0.7584,0.8612,1.3127,1.6766,0.00500,OBSERVE
2026-08-27T18:24:32.747002+00:00,BMTUSDT,CORE,RISK_OFF,16.67,7.0571,99.0000,N,N,0.2799,SUPPORT,6,1.1870,1.0317,0.8720,1.5595,0.9872,-0.00038,OBSERVE
2026-08-27T18:29:36.897644+00:00,VETUSDT,CORE,RISK_OFF,15.00,6.9254,99.0000,N,N,0.1618,SUPPORT,6,1.2197,1.2862,1.3116,0.9834,1.7651,-0.00797,OBSERVE
2026-08-27T18:44:28.317712+00:00,MOVRUSDT,CORE,RISK_OFF,20.00,6.9608,99.0000,N,N,0.1611,SUPPORT,6,1.3431,1.3815,1.2326,1.0356,0.8411,-0.00519,OBSERVE
2026-08-27T18:49:41.421363+00:00,ONGUSDT,CORE,RISK_OFF,40.00,7.3952,99.0000,N,N,0.2883,SUPPORT,6,1.0975,1.4938,1.4056,0.9911,0.5526,-0.11845,OBSERVE
2026-08-27T18:49:41.421446+00:00,SNDKBUSDT,CORE,RISK_OFF,40.00,6.9944,99.0000,N,N,0.0000,NO_FUTURES_DATA,0,NA,NA,NA,NA,NA,NA,OBSERVE
2026-08-27T18:49:43.044161+00:00,MOVRUSDT,CORE,RISK_OFF,40.00,6.6000,99.0000,N,N,0.2444,SUPPORT,6,1.3438,1.3776,1.2277,0.9810,1.8312,-0.00616,OBSERVE
2026-08-27T18:54:31.850073+00:00,EDENUSDT,CORE,WEAK,61.67,7.3208,99.0000,N,N,0.3522,CONFIRM,6,1.4356,1.1404,0.8288,1.7581,0.1952,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T18:54:33.462961+00:00,ONGUSDT,CORE,WEAK,61.67,6.5760,99.0000,N,N,0.2859,SUPPORT,6,1.0981,1.4845,1.3998,1.0771,0.6085,-0.11723,OBSERVE
2026-08-27T18:59:28.718400+00:00,UNIUSDT,TREND,WEAK,63.33,6.8616,99.3500,N,N,0.5289,CONFIRM,6,2.8589,1.6925,1.5113,1.5239,0.9125,0.01000,WOULD_SUPPORT_NEAR_READY
